Cliente;Projeto;ID original;Tópico;Área;Ação;Responsável;Prazo;Data de conclusão;Status;Observações;Status original;Pessoa FAUS original;Pessoa Dedé original
Dedé Autopeças;Dedé autopeças - Processos Logísticos, WMS e Layout;1;MELHORIAS OPERACIONAIS;RECEBIMENTO;Melhoria na atividade de recebimento de mercadoria: Comprar Leitor Optico estilo Supermercado (1 para teste);Manoel Malta Filho;21/01/2026;03/02/2026;Concluída;"03/02 - Teste realizado com leitor fornecido pelo fornecedor dos coletores
06/02 - Qualidade do material testado é superior aos utilizado atualmente, leitura mais dinamica e mais rápida.";Realizado;Manoel;
Dedé Autopeças;Dedé autopeças - Processos Logísticos, WMS e Layout;2;MELHORIAS OPERACIONAIS;RECEBIMENTO;Realizar o Teste com o Leitor Supermercado em mesas diferentes, emitir a análise final e recomendação.;Manoel Malta Filho;13/02/2026;03/02/2026;Concluída;"03/02 - Teste realizado com leitor fornecido pelo fornecedor dos coletores
06/02 - Qualidade do material testado é superior aos utilizado atualmente, leitura mais dinamica e mais rápida.";Realizado;Manoel;
Dedé Autopeças;Dedé autopeças - Processos Logísticos, WMS e Layout;3;MELHORIAS OPERACIONAIS;RECEBIMENTO;5s na área de recebimento: Melhoria do Layout, identificação dos espaços, controle visual do tempo que o material está aguardando.;Manoel Malta Filho;19/02/2026;20/02/2026;Concluída;"Padrinho de rua, estender para todo armazém.
06/02 - Validar na próxima dedicaçao este ponto. Vincular com a produtividade.

18/02 - Criação de placa de Controle de Recebimento de produto, com controle visual, identificaçao de Recebimento regular e Prioridade.";Realizado;Manoel/Vinicius;
Dedé Autopeças;Dedé autopeças - Processos Logísticos, WMS e Layout;4;ANÁLISE DE DADOS;ARMAZÉM;Gerar Bases de venda aberto por tipo de venda (Balcão e Entrega), do período de Jan a Dez/25;Manoel Malta Filho;15/01/2026;15/01/2026;Concluída;;Realizado;;Guilherme
Dedé Autopeças;Dedé autopeças - Processos Logísticos, WMS e Layout;5;ANÁLISE DE DADOS;ARMAZÉM;"Analisar os dados e Gerar:

- Curva ABC dos Produtos
- Gerar Lista de Necessidade de Movimentação de Itens conforme curva ABC.
- Montar análise geral conforme os dados";Manoel Malta Filho;30/01/2026;30/01/2026;Concluída;06/02 - Realizar manutençao desta açao (continuidade);Realizado;Manoel/Vinicius;
Dedé Autopeças;Dedé autopeças - Processos Logísticos, WMS e Layout;6;LAYOUT NOVO CD;ARMAZÉM;"Sugestão de Layout para novo CD:
- Fluxo de Movimentação
- Capacidade do armazem";Manoel Malta Filho;10/03/2026;01/04/2026;Concluída;"06/02 - Em andamento. Layout desenhado, confirmar o tema de Porta Paletes e mini-porta paletes (orçamento e procura dos equipamentos)

15/04 - Finalizado em 01/04. CD NOVO/CD Tito Fulgencio";Realizado;Vinicius;
Dedé Autopeças;Dedé autopeças - Processos Logísticos, WMS e Layout;7;RESULT;GERAL;Atualizar status com time da Result;Manoel Malta Filho;20/01/2026;19/01/2026;Concluída;;Realizado;Manoel;
Dedé Autopeças;Dedé autopeças - Processos Logísticos, WMS e Layout;8;WMS;EQUIPAMENTOS;Realizar orçamentos dos coletores e impressoras para o WMS Para previsão de investimento dos equipamentos;Manoel Malta Filho;30/01/2026;30/01/2026;Concluída;"Cotar coletores (COMPEX - Zebra - Honey) e Leitores Fixos (Bematech - Zebra - Simbol)

15/04 - Orçamento já realizado e compra realizada de 4 coletores e impressores.";Realizado;Manoel;
Dedé Autopeças;Dedé autopeças - Processos Logísticos, WMS e Layout;9;RESULT;GERAL;Relacionamento das Tabelas do Banco de Dados;Manoel Malta Filho;04/05/2026;;Iniciada;"Como não existe acesso direto ao banco de dados, será necessário criar um banco de dados.
06/02 - Reuniao a ser realizada hoje para finalizar o tema.

15/04 - Verificar com Breno (RESULT) as informaçoes que precisa para rodar o BI.";Em Andamento;;Muller
Dedé Autopeças;Dedé autopeças - Processos Logísticos, WMS e Layout;10;MELHORIAS OPERACIONAIS;ARMAZÉM;Coletar cadastro logístico dos Produtos Para ter os dados de (Cubagem x Peso x Fator);Manoel Malta Filho;30/06/2026;;Iniciada;"Pegar apoio com os fornecedores, pegar o maximo de informações dos produtos. (Fator de conversão, codigos de barras, cubagem Etc..)
06/02 - Envolver Guilherme de compras para contato e relacionamento com os fornecedores.

15/04 - Em Andamento via Compras.

Obs: - Para dimensoes (peso, altura, largura) pode ser utilizada a informação do similar. Para EAN e DUN tem que ser do codigo interno.";Em Andamento;;Jeber / Guilherme
